Tid,Temp.,Nedbør mm,Vindbeskrivelse,Vind [m/s],Vindkast [m/s],Log Time,Sted
0,15°,0,2 m/s fra vest med vindkast på 3 m/s,2,3,08/10/21 23:55:06,Falster
1,15°,0,3 m/s fra vest med vindkast på 4 m/s,3,4,08/11/21 00:55:06,Falster
2,15°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/11/21 01:55:06,Falster
3,14°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/11/21 02:55:05,Falster
4,14°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 03:55:05,Falster
5,14°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 04:55:05,Falster
6,14°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/11/21 05:55:06,Falster
7,15°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/11/21 06:55:05,Falster
8,16°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 07:55:05,Falster
9,18°,0,4 m/s fra nordvest med vindkast på 8 m/s,4,8,08/11/21 08:55:05,Falster
10,18°,0,4 m/s fra nordvest med vindkast på 8 m/s,4,8,08/11/21 09:55:05,Falster
11,19°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/11/21 10:55:05,Falster
12,20°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/11/21 11:55:05,Falster
13,20°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 12:55:05,Falster
14,22°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/11/21 13:55:05,Falster
15,23°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/11/21 14:55:05,Falster
16,23°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 15:55:04,Falster
17,24°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 16:55:05,Falster
18,22°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/11/21 17:55:05,Falster
19,22°,0,3 m/s fra vest med vindkast på 9 m/s,3,9,08/11/21 18:55:05,Falster
20,21°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/11/21 19:55:05,Falster
21,20°,0,2 m/s fra vest med vindkast på 5 m/s,2,5,08/11/21 20:55:05,Falster
22,17°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,08/11/21 21:55:04,Falster
23,16°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,08/11/21 22:55:05,Falster
0,16°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,08/11/21 23:55:05,Falster
1,15°,0,2 m/s fra vest med vindkast på 3 m/s,2,3,08/12/21 00:55:05,Falster
2,15°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,08/12/21 01:55:05,Falster
3,14°,0,1 m/s fra vest med vindkast på 2 m/s,1,2,08/12/21 02:55:05,Falster
4,14°,0,1 m/s fra vest med vindkast på 2 m/s,1,2,08/12/21 03:55:05,Falster
5,13°,0,1 m/s fra sørvest med vindkast på 2 m/s,1,2,08/12/21 04:55:05,Falster
6,13°,0,1 m/s fra sørvest med vindkast på 1 m/s,1,1,08/12/21 05:55:06,Falster
7,14°,0,1 m/s fra sørvest med vindkast på 2 m/s,1,2,08/12/21 06:55:05,Falster
8,17°,0,1 m/s fra sør med vindkast på 2 m/s,1,2,08/12/21 07:55:05,Falster
9,19°,0,3 m/s fra sør med vindkast på 5 m/s,3,5,08/12/21 08:55:05,Falster
10,21°,0,3 m/s fra sørvest med vindkast på 6 m/s,3,6,08/12/21 09:55:05,Falster
11,22°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,08/12/21 10:55:05,Falster
12,23°,0,4 m/s fra sørvest med vindkast på 8 m/s,4,8,08/12/21 11:55:05,Falster
13,25°,0,5 m/s fra sørvest med vindkast på 10 m/s,5,10,08/12/21 12:55:05,Falster
14,26°,0,5 m/s fra sørvest med vindkast på 10 m/s,5,10,08/12/21 13:55:04,Falster
15,26°,0,5 m/s fra sørvest med vindkast på 10 m/s,5,10,08/12/21 14:55:05,Falster
16,26°,0,4 m/s fra sør med vindkast på 10 m/s,4,10,08/12/21 15:55:05,Falster
17,26°,0,4 m/s fra sør med vindkast på 9 m/s,4,9,08/12/21 16:55:05,Falster
18,25°,0,3 m/s fra sørøst med vindkast på 8 m/s,3,8,08/12/21 17:55:04,Falster
19,22°,0,5 m/s fra øst med vindkast på 9 m/s,5,9,08/12/21 18:55:05,Falster
20,22°,0,5 m/s fra sørøst med vindkast på 9 m/s,5,9,08/12/21 19:55:05,Falster
21,21°,0,3 m/s fra øst med vindkast på 7 m/s,3,7,08/12/21 20:55:04,Falster
22,20°,0,3 m/s fra øst med vindkast på 5 m/s,3,5,08/12/21 21:55:04,Falster
23,20°,0,3 m/s fra sørøst med vindkast på 4 m/s,3,4,08/12/21 22:55:04,Falster
0,19°,0,3 m/s fra sørøst med vindkast på 4 m/s,3,4,08/12/21 23:55:05,Falster
1,19°,0,2 m/s fra sørøst med vindkast på 4 m/s,2,4,08/13/21 00:55:05,Falster
2,18°,0,2 m/s fra sør med vindkast på 3 m/s,2,3,08/13/21 01:55:05,Falster
3,18°,0,2 m/s fra sør med vindkast på 3 m/s,2,3,08/13/21 02:55:05,Falster
4,17°,0,1 m/s fra sør med vindkast på 2 m/s,1,2,08/13/21 03:55:05,Falster
5,18°,0,1 m/s fra sør med vindkast på 2 m/s,1,2,08/13/21 04:55:05,Falster
6,17°,0,1 m/s fra sørvest med vindkast på 2 m/s,1,2,08/13/21 05:55:06,Falster
7,17°,0,1 m/s fra sørvest med vindkast på 2 m/s,1,2,08/13/21 06:55:07,Falster
8,18°,0,1 m/s fra sørvest med vindkast på 2 m/s,1,2,08/13/21 07:55:06,Falster
9,20°,0,1 m/s fra vest med vindkast på 3 m/s,1,3,08/13/21 08:55:07,Falster
10,23°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/13/21 09:55:06,Falster
11,23°,0,5 m/s fra sørvest med vindkast på 9 m/s,5,9,08/13/21 10:55:06,Falster
12,25°,0,5 m/s fra sørvest med vindkast på 10 m/s,5,10,08/13/21 11:55:06,Falster
13,25°,0,6 m/s fra sørvest med vindkast på 11 m/s,6,11,08/13/21 12:55:07,Falster
14,26°,0,6 m/s fra sørvest med vindkast på 11 m/s,6,11,08/13/21 13:55:06,Falster
15,26°,0,6 m/s fra sørvest med vindkast på 11 m/s,6,11,08/13/21 14:55:05,Falster
16,26°,0,5 m/s fra sørvest med vindkast på 11 m/s,5,11,08/13/21 15:55:06,Falster
17,25°,0,5 m/s fra sørvest med vindkast på 10 m/s,5,10,08/13/21 16:55:05,Falster
18,25°,0–1,5 m/s fra vest med vindkast på 9 m/s,5,9,08/13/21 17:55:06,Falster
19,24°,"0–0,8",5 m/s fra vest med vindkast på 9 m/s,5,9,08/13/21 18:55:07,Falster
20,23°,0,6 m/s fra vest med vindkast på 13 m/s,6,13,08/13/21 19:55:06,Falster
21,20°,0,6 m/s fra vest med vindkast på 11 m/s,6,11,08/13/21 20:55:07,Falster
22,19°,0,6 m/s fra vest med vindkast på 11 m/s,6,11,08/13/21 21:55:06,Falster
23,18°,0,6 m/s fra vest med vindkast på 11 m/s,6,11,08/13/21 22:55:05,Falster
0,17°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/13/21 23:55:05,Falster
1,16°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/14/21 00:55:05,Falster
2,16°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/14/21 01:55:05,Falster
3,15°,0,3 m/s fra vest med vindkast på 6 m/s,3,6,08/14/21 02:55:05,Falster
4,14°,0,2 m/s fra sørvest med vindkast på 5 m/s,2,5,08/14/21 03:55:05,Falster
5,15°,0,3 m/s fra sørvest med vindkast på 5 m/s,3,5,08/14/21 04:55:05,Falster
6,15°,0,2 m/s fra sørvest med vindkast på 5 m/s,2,5,08/14/21 05:55:05,Falster
7,15°,0,3 m/s fra sørvest med vindkast på 5 m/s,3,5,08/14/21 06:55:05,Falster
8,17°,0,5 m/s fra sørvest med vindkast på 8 m/s,5,8,08/14/21 07:55:04,Falster
9,19°,0,5 m/s fra sørvest med vindkast på 10 m/s,5,10,08/14/21 08:55:04,Falster
10,19°,0,7 m/s fra sørvest med vindkast på 12 m/s,7,12,08/14/21 09:55:05,Falster
11,19°,0,8 m/s fra sørvest med vindkast på 13 m/s,8,13,08/14/21 10:55:05,Falster
12,20°,0,8 m/s fra sørvest med vindkast på 14 m/s,8,14,08/14/21 11:55:05,Falster
13,22°,"0–0,2",8 m/s fra sørvest med vindkast på 15 m/s,8,15,08/14/21 12:55:05,Falster
14,21°,0,9 m/s fra sørvest med vindkast på 15 m/s,9,15,08/14/21 13:55:05,Falster
15,21°,0,9 m/s fra sørvest med vindkast på 16 m/s,9,16,08/14/21 14:55:05,Falster
16,22°,"0–0,7",8 m/s fra sørvest med vindkast på 15 m/s,8,15,08/14/21 15:55:05,Falster
17,21°,"0–1,1",8 m/s fra vest med vindkast på 15 m/s,8,15,08/14/21 16:55:05,Falster
18,19°,"0–1,1",8 m/s fra vest med vindkast på 16 m/s,8,16,08/14/21 17:55:04,Falster
19,17°,0,7 m/s fra vest med vindkast på 14 m/s,7,14,08/14/21 18:55:05,Falster
20,18°,0,6 m/s fra vest med vindkast på 12 m/s,6,12,08/14/21 19:55:05,Falster
21,18°,0,7 m/s fra vest med vindkast på 11 m/s,7,11,08/14/21 20:55:05,Falster
22,18°,0,6 m/s fra vest med vindkast på 10 m/s,6,10,08/14/21 21:55:05,Falster
23,17°,0,6 m/s fra vest med vindkast på 10 m/s,6,10,08/14/21 22:55:05,Falster
0,16°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/14/21 23:55:05,Falster
1,16°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/15/21 00:55:05,Falster
2,16°,0,5 m/s fra vest med vindkast på 8 m/s,5,8,08/15/21 01:55:04,Falster
3,16°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/15/21 02:55:05,Falster
4,16°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,08/15/21 03:55:05,Falster
5,16°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,08/15/21 04:55:05,Falster
6,16°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,08/15/21 05:55:04,Falster
7,16°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/15/21 06:55:05,Falster
8,16°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/15/21 07:55:05,Falster
9,17°,0,6 m/s fra vest med vindkast på 10 m/s,6,10,08/15/21 08:55:05,Falster
10,17°,0,6 m/s fra vest med vindkast på 10 m/s,6,10,08/15/21 09:55:04,Falster
11,19°,0,6 m/s fra vest med vindkast på 11 m/s,6,11,08/15/21 10:55:05,Falster
12,20°,0,7 m/s fra sørvest med vindkast på 12 m/s,7,12,08/15/21 11:55:06,Falster
13,21°,0,6 m/s fra sørvest med vindkast på 12 m/s,6,12,08/15/21 12:55:05,Falster
14,22°,0,6 m/s fra sørvest med vindkast på 12 m/s,6,12,08/15/21 13:55:05,Falster
15,23°,0,6 m/s fra sørvest med vindkast på 12 m/s,6,12,08/15/21 14:55:04,Falster
16,22°,0,6 m/s fra sørvest med vindkast på 12 m/s,6,12,08/15/21 15:55:05,Falster
17,21°,0,6 m/s fra sørvest med vindkast på 11 m/s,6,11,08/15/21 16:55:04,Falster
18,21°,0,5 m/s fra sørvest med vindkast på 11 m/s,5,11,08/15/21 17:55:05,Falster
19,21°,0,4 m/s fra sørvest med vindkast på 9 m/s,4,9,08/15/21 18:55:05,Falster
20,20°,0,3 m/s fra sør med vindkast på 7 m/s,3,7,08/15/21 19:55:05,Falster
21,19°,"0–1,9",2 m/s fra sør med vindkast på 5 m/s,2,5,08/15/21 20:55:05,Falster
22,18°,"0–4,4",5 m/s fra sør med vindkast på 8 m/s,5,8,08/15/21 21:55:04,Falster
23,17°,"0–3,8",5 m/s fra sør med vindkast på 11 m/s,5,11,08/15/21 22:55:05,Falster
0,16°,"0–2,8",5 m/s fra sørøst med vindkast på 9 m/s,5,9,08/15/21 23:55:05,Falster
1,17°,"0–0,6",1 m/s fra nordøst med vindkast på 7 m/s,1,7,08/16/21 00:55:05,Falster
2,17°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,08/16/21 01:55:05,Falster
3,18°,0,5 m/s fra sørvest med vindkast på 8 m/s,5,8,08/16/21 02:55:05,Falster
4,17°,0,4 m/s fra sørvest med vindkast på 8 m/s,4,8,08/16/21 03:55:05,Falster
5,17°,"0–0,2",4 m/s fra sørvest med vindkast på 7 m/s,4,7,08/16/21 04:55:06,Falster
6,17°,"0–0,6",4 m/s fra sørvest med vindkast på 7 m/s,4,7,08/16/21 05:55:05,Falster
7,16°,"0–0,7",2 m/s fra vest med vindkast på 7 m/s,2,7,08/16/21 06:55:05,Falster
8,16°,"0–1,8",3 m/s fra vest med vindkast på 5 m/s,3,5,08/16/21 07:55:04,Falster
9,15°,"0–1,8",3 m/s fra nordvest med vindkast på 6 m/s,3,6,08/16/21 08:55:05,Falster
10,15°,"0–1,8",1 m/s fra vest med vindkast på 4 m/s,1,4,08/16/21 09:55:05,Falster
11,16°,0–1,1 m/s fra sørvest med vindkast på 3 m/s,1,3,08/16/21 10:55:05,Falster
12,16°,"0–0,7",2 m/s fra sør med vindkast på 3 m/s,2,3,08/16/21 11:55:05,Falster
13,17°,"0–0,5",2 m/s fra sørvest med vindkast på 5 m/s,2,5,08/16/21 12:55:05,Falster
14,18°,"0–1,2",3 m/s fra sørvest med vindkast på 6 m/s,3,6,08/16/21 13:55:05,Falster
15,17°,"0–2,2",6 m/s fra sørvest med vindkast på 10 m/s,6,10,08/16/21 14:55:05,Falster
16,17°,"0–1,9",6 m/s fra sørvest med vindkast på 10 m/s,6,10,08/16/21 15:55:05,Falster
17,16°,"0–0,9",7 m/s fra sørvest med vindkast på 13 m/s,7,13,08/16/21 16:55:05,Falster
18,16°,"0–0,4",5 m/s fra vest med vindkast på 12 m/s,5,12,08/16/21 17:55:05,Falster
19,16°,0,6 m/s fra vest med vindkast på 10 m/s,6,10,08/16/21 18:55:05,Falster
20,14°,"0–0,2",5 m/s fra vest med vindkast på 13 m/s,5,13,08/16/21 19:55:05,Falster
21,13°,"0–0,3",4 m/s fra sørvest med vindkast på 8 m/s,4,8,08/16/21 20:55:04,Falster
22,15°,0,4 m/s fra sørvest med vindkast på 7 m/s,4,7,08/16/21 21:55:04,Falster
23,14°,"0–0,4",4 m/s fra sørvest med vindkast på 7 m/s,4,7,08/16/21 22:55:05,Falster
0,13°,"0–2,5",3 m/s fra sørvest med vindkast på 6 m/s,3,6,08/16/21 23:55:05,Falster
1,13°,"0–4,8",6 m/s fra sørvest med vindkast på 13 m/s,6,13,08/17/21 00:55:05,Falster
2,13°,"0–3,8",4 m/s fra vest med vindkast på 11 m/s,4,11,08/17/21 01:55:05,Falster
3,13°,"0–1,2",6 m/s fra nordvest med vindkast på 10 m/s,6,10,08/17/21 02:55:06,Falster
4,12°,0,7 m/s fra nordvest med vindkast på 14 m/s,7,14,08/17/21 03:55:05,Falster
5,12°,"0–2,2",4 m/s fra nordvest med vindkast på 12 m/s,4,12,08/17/21 04:55:06,Falster
6,12°,"0–1,5",3 m/s fra vest med vindkast på 8 m/s,3,8,08/17/21 05:55:06,Falster
7,13°,"0–1,9",7 m/s fra vest med vindkast på 11 m/s,7,11,08/17/21 06:55:05,Falster
8,13°,"0–0,7",6 m/s fra vest med vindkast på 11 m/s,6,11,08/17/21 07:55:05,Falster
9,14°,"0–0,2",7 m/s fra vest med vindkast på 12 m/s,7,12,08/17/21 08:55:05,Falster
10,16°,0,9 m/s fra vest med vindkast på 15 m/s,9,15,08/17/21 09:55:05,Falster
11,17°,0,9 m/s fra vest med vindkast på 16 m/s,9,16,08/17/21 10:55:05,Falster
12,18°,0,10 m/s fra vest med vindkast på 17 m/s,10,17,08/17/21 11:55:05,Falster
13,19°,0,10 m/s fra vest med vindkast på 17 m/s,10,17,08/17/21 12:55:05,Falster
14,19°,0,10 m/s fra vest med vindkast på 17 m/s,10,17,08/17/21 13:55:05,Falster
15,19°,0,10 m/s fra vest med vindkast på 16 m/s,10,16,08/17/21 14:55:05,Falster
16,20°,0,10 m/s fra vest med vindkast på 17 m/s,10,17,08/17/21 15:55:05,Falster
17,19°,0,10 m/s fra vest med vindkast på 17 m/s,10,17,08/17/21 16:55:05,Falster
18,19°,0,10 m/s fra vest med vindkast på 16 m/s,10,16,08/17/21 17:55:05,Falster
19,19°,0,10 m/s fra vest med vindkast på 17 m/s,10,17,08/17/21 18:55:05,Falster
20,17°,0,9 m/s fra vest med vindkast på 16 m/s,9,16,08/17/21 19:55:05,Falster
21,16°,0,8 m/s fra vest med vindkast på 15 m/s,8,15,08/17/21 20:55:05,Falster
22,16°,0,9 m/s fra vest med vindkast på 15 m/s,9,15,08/17/21 21:55:05,Falster
23,15°,0,10 m/s fra vest med vindkast på 16 m/s,10,16,08/17/21 22:55:08,Falster
0,15°,0,10 m/s fra vest med vindkast på 17 m/s,10,17,08/17/21 23:55:05,Falster
1,15°,0,9 m/s fra vest med vindkast på 15 m/s,9,15,08/18/21 00:55:05,Falster
2,15°,0,9 m/s fra vest med vindkast på 15 m/s,9,15,08/18/21 01:55:05,Falster
3,15°,0,10 m/s fra vest med vindkast på 16 m/s,10,16,08/18/21 02:55:05,Falster
4,15°,0,9 m/s fra vest med vindkast på 17 m/s,9,17,08/18/21 03:55:05,Falster
5,14°,0,9 m/s fra vest med vindkast på 16 m/s,9,16,08/18/21 04:55:05,Falster
6,15°,0,9 m/s fra vest med vindkast på 16 m/s,9,16,08/18/21 05:55:05,Falster
7,15°,0,9 m/s fra vest med vindkast på 15 m/s,9,15,08/18/21 06:55:05,Falster
8,16°,0,8 m/s fra vest med vindkast på 15 m/s,8,15,08/18/21 07:55:05,Falster
9,16°,0,6 m/s fra vest med vindkast på 13 m/s,6,13,08/18/21 08:55:06,Falster
10,16°,"0–0,2",8 m/s fra vest med vindkast på 13 m/s,8,13,08/18/21 09:55:05,Falster
11,16°,"0–0,2",8 m/s fra vest med vindkast på 15 m/s,8,15,08/18/21 10:55:05,Falster
12,16°,"0–0,2",7 m/s fra vest med vindkast på 12 m/s,7,12,08/18/21 11:55:05,Falster
13,17°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/18/21 12:55:04,Falster
14,18°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/18/21 13:55:05,Falster
15,16°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/18/21 14:55:05,Falster
16,17°,0,10 m/s fra vest med vindkast på 16 m/s,10,16,08/18/21 15:55:05,Falster
17,17°,0,8 m/s fra vest med vindkast på 17 m/s,8,17,08/18/21 16:55:05,Falster
18,17°,0,9 m/s fra vest med vindkast på 15 m/s,9,15,08/18/21 17:55:05,Falster
19,17°,"0–0,2",10 m/s fra vest med vindkast på 17 m/s,10,17,08/18/21 18:55:05,Falster
20,16°,"0–0,2",8 m/s fra vest med vindkast på 16 m/s,8,16,08/18/21 19:55:05,Falster
21,16°,"0–0,4",8 m/s fra vest med vindkast på 14 m/s,8,14,08/18/21 20:55:05,Falster
22,16°,"0–0,3",9 m/s fra vest med vindkast på 14 m/s,9,14,08/18/21 21:55:05,Falster
23,15°,"0–0,4",7 m/s fra vest med vindkast på 14 m/s,7,14,08/18/21 22:55:05,Falster
0,16°,"0–0,6",8 m/s fra vest med vindkast på 13 m/s,8,13,08/18/21 23:55:05,Falster
1,16°,"0–0,5",8 m/s fra vest med vindkast på 14 m/s,8,14,08/19/21 00:55:05,Falster
2,15°,"0–0,2",8 m/s fra vest med vindkast på 13 m/s,8,13,08/19/21 01:55:05,Falster
3,15°,"0–0,2",8 m/s fra vest med vindkast på 14 m/s,8,14,08/19/21 02:55:05,Falster
4,15°,"0–0,3",8 m/s fra vest med vindkast på 13 m/s,8,13,08/19/21 03:55:05,Falster
5,15°,"0–0,2",8 m/s fra vest med vindkast på 13 m/s,8,13,08/19/21 04:55:05,Falster
6,15°,"0–0,2",7 m/s fra vest med vindkast på 13 m/s,7,13,08/19/21 05:55:05,Falster
7,14°,0,7 m/s fra vest med vindkast på 12 m/s,7,12,08/19/21 06:55:05,Falster
8,15°,0,8 m/s fra vest med vindkast på 13 m/s,8,13,08/19/21 07:55:05,Falster
9,16°,0,7 m/s fra vest med vindkast på 13 m/s,7,13,08/19/21 08:55:05,Falster
10,17°,0,7 m/s fra vest med vindkast på 13 m/s,7,13,08/19/21 09:55:05,Falster
11,18°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/19/21 10:55:05,Falster
12,19°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/19/21 11:55:05,Falster
13,19°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/19/21 12:55:05,Falster
14,19°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/19/21 13:55:05,Falster
15,20°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/19/21 14:55:05,Falster
16,20°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/19/21 15:55:05,Falster
17,19°,0,8 m/s fra vest med vindkast på 14 m/s,8,14,08/19/21 16:55:05,Falster
18,19°,0,7 m/s fra vest med vindkast på 13 m/s,7,13,08/19/21 17:55:04,Falster
19,19°,0,6 m/s fra vest med vindkast på 11 m/s,6,11,08/19/21 18:55:05,Falster
20,18°,0,5 m/s fra vest med vindkast på 10 m/s,5,10,08/19/21 19:55:05,Falster
21,16°,0,4 m/s fra vest med vindkast på 9 m/s,4,9,08/19/21 20:55:05,Falster
22,15°,0,3 m/s fra vest med vindkast på 7 m/s,3,7,08/19/21 21:55:05,Falster
23,15°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/19/21 22:55:05,Falster
0,16°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/19/21 23:55:05,Falster
1,16°,0,4 m/s fra vest med vindkast på 6 m/s,4,6,08/20/21 00:55:05,Falster
2,14°,0,3 m/s fra vest med vindkast på 6 m/s,3,6,08/20/21 01:55:05,Falster
3,14°,0,3 m/s fra vest med vindkast på 5 m/s,3,5,08/20/21 02:55:05,Falster
4,13°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/20/21 03:55:05,Falster
5,12°,0,2 m/s fra vest med vindkast på 3 m/s,2,3,08/20/21 04:55:05,Falster
6,14°,0,2 m/s fra sørvest med vindkast på 4 m/s,2,4,08/20/21 05:55:05,Falster
7,14°,0,2 m/s fra sørvest med vindkast på 4 m/s,2,4,08/20/21 06:55:05,Falster
8,16°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/20/21 07:55:06,Falster
9,17°,0,3 m/s fra vest med vindkast på 6 m/s,3,6,08/20/21 08:55:05,Falster
10,18°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/20/21 09:55:05,Falster
11,18°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/20/21 10:55:05,Falster
12,19°,0,3 m/s fra vest med vindkast på 7 m/s,3,7,08/20/21 11:55:05,Falster
13,19°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/20/21 12:55:05,Falster
14,17°,0,5 m/s fra vest med vindkast på 9 m/s,5,9,08/20/21 13:55:05,Falster
15,18°,0,4 m/s fra vest med vindkast på 9 m/s,4,9,08/20/21 14:55:05,Falster
16,17°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/20/21 15:55:05,Falster
17,19°,0,4 m/s fra vest med vindkast på 7 m/s,4,7,08/20/21 16:55:05,Falster
18,19°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/20/21 17:55:05,Falster
19,16°,0,4 m/s fra vest med vindkast på 8 m/s,4,8,08/20/21 18:55:07,Falster
20,16°,0,3 m/s fra vest med vindkast på 7 m/s,3,7,08/20/21 19:55:05,Falster
21,15°,0,1 m/s fra vest med vindkast på 4 m/s,1,4,08/20/21 20:55:06,Falster
22,13°,0,2 m/s fra sørvest med vindkast på 3 m/s,2,3,08/20/21 21:55:06,Falster
23,14°,0,3 m/s fra vest med vindkast på 4 m/s,3,4,08/20/21 22:55:08,Falster
0,15°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/20/21 23:55:05,Falster
1,16°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/21/21 00:55:05,Falster
2,15°,0,2 m/s fra vest med vindkast på 4 m/s,2,4,08/21/21 01:55:05,Falster
3,11°,0,2 m/s fra nordvest med vindkast på 4 m/s,2,4,08/21/21 02:55:05,Falster
4,12°,0,2 m/s fra nordvest med vindkast på 2 m/s,2,2,08/21/21 03:55:05,Falster
5,11°,0,1 m/s fra vest med vindkast på 2 m/s,1,2,08/21/21 04:55:05,Falster
6,11°,0,1 m/s fra vest med vindkast på 2 m/s,1,2,08/21/21 05:55:06,Falster
7,12°,0,1 m/s fra vest med vindkast på 2 m/s,1,2,08/21/21 06:55:06,Falster
8,14°,0,1 m/s fra vest med vindkast på 2 m/s,1,2,08/21/21 07:55:06,Falster
9,16°,0,3 m/s fra nordvest med vindkast på 6 m/s,3,6,08/21/21 08:55:06,Falster
10,17°,0,4 m/s fra nordvest med vindkast på 8 m/s,4,8,08/21/21 09:55:08,Falster
11,16°,0,4 m/s fra nordvest med vindkast på 9 m/s,4,9,08/21/21 10:55:07,Falster
12,18°,0,4 m/s fra nordvest med vindkast på 9 m/s,4,9,08/21/21 11:55:06,Falster
13,20°,0,4 m/s fra nordvest med vindkast på 9 m/s,4,9,08/21/21 12:55:05,Falster
14,20°,0,4 m/s fra nordvest med vindkast på 9 m/s,4,9,08/21/21 13:55:06,Falster
15,20°,0,4 m/s fra nordvest med vindkast på 9 m/s,4,9,08/21/21 14:55:06,Falster
16,20°,0,3 m/s fra nordvest med vindkast på 8 m/s,3,8,08/21/21 15:55:06,Falster
17,20°,0,3 m/s fra sørvest med vindkast på 8 m/s,3,8,08/21/21 16:55:05,Falster
18,20°,0,3 m/s fra sørvest med vindkast på 7 m/s,3,7,08/21/21 17:55:05,Falster
19,19°,0,2 m/s fra sørvest med vindkast på 7 m/s,2,7,08/21/21 18:55:06,Falster
20,18°,0,2 m/s fra sørvest med vindkast på 5 m/s,2,5,08/21/21 19:55:06,Falster
21,16°,0,1 m/s fra sør med vindkast på 3 m/s,1,3,08/21/21 20:55:05,Falster
22,15°,0,1 m/s fra sørøst med vindkast på 2 m/s,1,2,08/21/21 21:55:05,Falster
23,15°,0,1 m/s fra sørøst med vindkast på 2 m/s,1,2,08/21/21 22:55:06,Falster
0,14°,0,1 m/s fra sør med vindkast på 3 m/s,1,3,08/21/21 23:55:05,Falster
1,12°,0,1 m/s fra sørøst med vindkast på 2 m/s,1,2,08/22/21 00:55:05,Falster
2,12°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,08/22/21 01:55:05,Falster
3,12°,0,2 m/s fra sørøst med vindkast på 4 m/s,2,4,08/22/21 02:55:05,Falster
4,12°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,08/22/21 03:55:05,Falster
5,13°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,08/22/21 04:55:05,Falster
6,13°,0,2 m/s fra sørøst med vindkast på 3 m/s,2,3,08/22/21 05:55:05,Falster
7,12°,0,3 m/s fra øst med vindkast på 4 m/s,3,4,08/22/21 06:55:05,Falster
8,15°,0,3 m/s fra øst med vindkast på 5 m/s,3,5,08/22/21 07:55:05,Falster
9,17°,0,5 m/s fra øst med vindkast på 9 m/s,5,9,08/22/21 08:55:05,Falster
10,16°,0,6 m/s fra øst med vindkast på 11 m/s,6,11,08/22/21 09:55:05,Falster
